what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505493979030
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505493986128
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1505493989749
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505493990823
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505493992056
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505493993241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494055245
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494056165
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505494061889
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505494069493
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1505494072717
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494075501
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505494077033
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505494078406
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1505494080689
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494082316
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1505494086507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494089714
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494107407
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494107547
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1505494111296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494112993
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494115965
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494116733
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494132298
