what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188518247
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188519636
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188523170
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188525294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188527462
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188527602
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188531040
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188540715
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188540867
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188544384
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188545092
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188552426
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188556608
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188557447
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188558693
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188559583
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188561480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188566833
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188566987
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188575053
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188578393
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188578522
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188580701
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505188651215
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505188653271
