what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504998234445
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504998237781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998241049
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998243518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998252620
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999118578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999213574
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999219130
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1504999222169
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1504999222896
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1504999223273
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504999224200
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.redo",1504999225421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504999225883
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999227720
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999233246
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999240674
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999308107
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504999348362
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504999350464
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504999351014
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504999353702
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504999354615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999371995
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504999377127
