what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505501408219
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501412084
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501424475
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501424575
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501430744
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501436556
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501436583
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501438854
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501438950
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501446716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501449250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501515025
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501525127
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501531508
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501532340
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505501548806
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505501559127
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505501561000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501566545
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505501572971
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1505501572988
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1505501574983
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505501578195
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505501582586
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505501583618
