what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106658232
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106659764
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106667998
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106670022
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106677623
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106679956
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106683492
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106693482
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106697645
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106703894
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106712494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106714456
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106715841
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106745309
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106764665
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106793318
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106797556
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106799947
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106806801
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505106809809
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505106812444
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505106813867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106815886
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505106818977
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505106828565
