what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103299297
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103304749
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103305616
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103308339
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103316079
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103328653
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103331047
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103332297
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103349338
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103357507
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103363977
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103366261
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103367488
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103375018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103375890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103387068
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103409468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103411082
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103413761
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505103431317
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103432755
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103435078
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505103438348
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505103440020
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505103442285
