what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985669350
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985670363
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985672089
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504985673178
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504985674048
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504985682149
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985683923
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985695796
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504985697425
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504985707748
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1504985710231
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985710248
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985711465
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504985714501
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1504985716244
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504985733446
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504985735114
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504986239049
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504986240559
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998217189
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504998219465
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504998222160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998225511
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504998233216
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504998233372
