what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102735855
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102736689
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102737647
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102743732
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102753046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102754111
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102754774
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102762215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102767822
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102782279
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505102785287
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505102785695
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505102786269
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102789370
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102790279
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102794735
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102817293
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102820339
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102821988
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102825243
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102839014
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102932445
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102950590
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505102951277
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505102952188
