what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319020766
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319021871
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319039670
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1505319042424
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505319042769
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505319048334
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505319057087
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319058599
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319077336
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505319082323
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505319084022
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319086381
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319099882
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505319106231
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319107650
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319112597
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319130843
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319133849
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319135373
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319138883
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319148331
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505319150353
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319158526
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319242363
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505319247722
