what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349680604
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505349683457
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349703386
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349720876
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505349721459
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349724411
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349730930
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505349732721
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349733982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349751537
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505349755239
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505349767160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349948253
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349950393
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349951898
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505349991508
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505349992904
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505349994035
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1505350012266
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1505350014414
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505350014815
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1505350018015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505350019561
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1505350021292
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505350021582
