what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105670759
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105673746
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105738075
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505105740306
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505105742205
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505105748418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105750817
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105751400
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105789006
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105797520
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105799232
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105802287
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105813355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105817408
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105819885
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105850457
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105855664
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105858281
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105882782
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105887552
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505105905196
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105906184
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105913237
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105916523
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505105918713
