what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107964935
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107987096
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107990104
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107990816
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107995621
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107998563
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108018399
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108019687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108021652
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108022597
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108030146
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108031278
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1505108035423
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108040790
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108079996
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505108080013
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108084137
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108085800
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108093042
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108095003
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108097226
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108193935
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108210575
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108215270
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505108222008
