what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1505494639945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494640979
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494646949
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494649918
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505494687232
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505494695648
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496215079
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505496216946
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496220777
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496408618
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496413837
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496787774
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1505496791740
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505496797419
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505498380033
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505498386365
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505498391192
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1505498391207
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505498393259
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505498393801
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505498394918
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505498403616
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505498410487
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505498411783
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505498414339
