what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505325538288
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505325538672
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505325539108
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505325539720
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505325540341
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.redo",1505325543358
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505325545210
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505325547527
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1505325552981
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505325556151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505325558381
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505325573644
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505325576031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335640023
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505335657375
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505335659778
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335661177
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335667579
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1505335668338
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505335668967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335673750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335676538
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335677618
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505335680869
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505335708821
