what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104787086
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104791540
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104793747
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104796215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104800238
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104805398
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104836165
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104844082
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104852470
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104862579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104863421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104864539
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104866124
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104876007
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104890731
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104900116
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104902502
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104903761
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104911794
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104917976
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104921253
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505104925089
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104926217
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104928891
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505104934836
