what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107333256
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107340611
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107341985
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107353712
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107364291
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107365319
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107369057
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107375493
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107378167
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107379743
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107396455
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107408710
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107418820
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107420123
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107442723
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107444120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107446605
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107453651
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107455105
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107457002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107467015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1505107468699
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107473636
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1505107474847
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1505107479964
